sample	GenotypeRate	Heterozygosity	conScore
99	coarCHIm.2811.21	0.888888888888889	0.00419287211740042	0
100	coarCHIm.2812.21	0.918238993710692	0.010482180293501	0
101	coarCHIm.2813.21	0.905660377358491	0.00838574423480084	0
102	coarCHIm.2814.21	0.805031446540881	0.00628930817610063	0
103	coarCHIm.2815.21	0.855345911949686	0.00628930817610063	0
104	coarCHIm.2816.21	0.884696016771488	0.00628930817610063	0
105	coarCHIm.2817.21	0.867924528301887	0.00628930817610063	0.333333333333333
106	coarCHIm.2818.21	0.842767295597484	0.00419287211740042	0
107	coarCHIm.2819.21	0.846960167714885	0.0125786163522013	0
108	coarCHIm.2820.21	0.863731656184486	0.00628930817610063	0.333333333333333
109	coarCHIm.2821.21	0.817610062893082	0.010482180293501	0
110	coarCHIm.2822.21	0.853249475890985	0.00838574423480084	0
111	coarCHIm.2823.21	0.872117400419287	0.010482180293501	0.2
112	coarCHIm.2824.21	0.880503144654088	0.00838574423480084	0
113	coarCHIm.2825.21	0.916142557651992	0.010482180293501	0.2
114	coarCHIm.4901.21	0.836477987421384	0.00419287211740042	0
115	coarCHIm.4902.21	0.832285115303983	0.00838574423480084	0
116	coarCHIm.4903.21	0.838574423480084	0.010482180293501	0
117	coarCHIm.4904.21	0.828092243186583	0.010482180293501	0
118	coarCHIm.4905.21	0.838574423480084	0.00628930817610063	0.333333333333333
119	coarCHIm.4906.21	0.830188679245283	0.00838574423480084	0
120	coarCHIm.4907.21	0.836477987421384	0.0125786163522013	0
121	coarCHIm.4908.21	0.786163522012579	0.00209643605870021	0
122	coarCHIm.4909.21	0.878406708595388	0.00628930817610063	0
123	coarCHIm.4910.21	0	0	NA
124	coarCHIm.4911.21	0	0	NA
125	coarCHIm.4912.21	0	0	NA
126	coarCHIm.4913.21	0	0	NA
127	coarCHIm.4914.21	0	0	NA
128	coarCHIm.4915.21	0	0	NA
129	coarCHIm.4916.21	0	0	NA
130	coarCHIm.4917.21	0.920335429769392	0.00628930817610063	0.666666666666667
131	coarCHIm.4918.21	0.926624737945493	0.010482180293501	0
132	coarCHIm.4919.21	0.911949685534591	0.010482180293501	0
133	coarCHIm.4920.21	0.907756813417191	0.00628930817610063	0
134	coarCHIm.4921.21	0.907756813417191	0.010482180293501	0
135	coarCHIm.4922.21	0.918238993710692	0.00838574423480084	0.5
136	coarCHIm.4923.21	0.90146750524109	0.00628930817610063	0.333333333333333
137	coarCHIm.4924.21	0.907756813417191	0.00838574423480084	0
138	coarCHIm.4925.21	0.905660377358491	0.00838574423480084	0
139	coarCHIm.4976.21	0.916142557651992	0.00628930817610063	0
140	coarCHIm.4977.21	0.918238993710692	0.00838574423480084	0
141	coarCHIm.4978.21	0.918238993710692	0.00838574423480084	0
142	coarCHIm.4979.21	0.909853249475891	0.00628930817610063	0.333333333333333
143	coarCHIm.4980.21	0.880503144654088	0.00838574423480084	0
144	coarCHIm.4981.21	0.884696016771488	0.0125786163522013	0
145	coarCHIm.4982.21	0.888888888888889	0.00838574423480084	0
146	coarCHIm.4983.21	0.888888888888889	0.00838574423480084	0
147	coarCHIm.4984.21	0.865828092243187	0.010482180293501	0
148	coarCHIm.4985.21	0.857442348008386	0.00628930817610063	0
149	coarCHIm.4986.21	0.865828092243187	0.00838574423480084	0
150	coarCHIm.4987.21	0.886792452830189	0.00419287211740042	0
151	coarCHIm.4988.21	0.855345911949686	0.00838574423480084	0
152	coarCHIm.4989.21	0.880503144654088	0.00628930817610063	0
153	coarCHIm.4990.21	0.911949685534591	0.00628930817610063	0
154	coarCHIm.4991.21	0.882599580712788	0.00628930817610063	0
155	coarCHIm.4992.21	0.880503144654088	0.00838574423480084	0
156	coarCHIm.4993.21	0.880503144654088	0.00628930817610063	0
157	coarCHIm.4994.21	0.888888888888889	0.00628930817610063	0
158	coarCHIm.4995.21	0.876310272536688	0.00838574423480084	0
159	coarCHIm.4996.21	0.863731656184486	0.00628930817610063	0
160	coarCHIm.4997.21	0.859538784067086	0.00419287211740042	0
161	coarCHIm.4998.21	0.893081761006289	0.00838574423480084	0
162	coarCHIm.4999.21	0.857442348008386	0.00838574423480084	0
163	coarCHIm.5000.21	0.838574423480084	0.00838574423480084	0
164	coarCHIm.5026.21	0.878406708595388	0.0125786163522013	0
165	coarCHIm.5027.21	0.90356394129979	0.00838574423480084	0
