Sample	Total Reads	Off-target Reads	Primer Only Reads	Primer Probe Reads	Off-target Proportion	Primer Only Proportion	Primer Probe Proportion
coarEASm-238-21	20251	2720	5338	12193	0.13	0.26	0.60
coarEASm-239-21	22327	3054	6220	13053	0.14	0.28	0.58
coarEASm-240-21	25684	3182	6621	15881	0.12	0.26	0.62
coarEASm-241-21	21702	2893	5874	12935	0.13	0.27	0.60
coarEASm-242-21	22154	2701	5320	14133	0.12	0.24	0.64
coarEASm-243-21	21980	2925	5699	13356	0.13	0.26	0.61
coarEASm-244-21	21543	2627	5744	13172	0.12	0.27	0.61
coarEASm-245-21	21485	2802	5222	13461	0.13	0.24	0.63
coarEASm-246-21	17532	2252	4534	10746	0.13	0.26	0.61
coarEASm-247-21	22715	2847	5739	14129	0.13	0.25	0.62
coarEASm-248-21	26629	3142	6802	16685	0.12	0.26	0.63
coarEASm-249-21	37362	3900	8945	24517	0.10	0.24	0.66
coarEASm-250-21	25089	3120	6345	15624	0.12	0.25	0.62
coarEASm-251-21	22986	3277	6578	13131	0.14	0.29	0.57
coarEASm-252-21	26877	3469	6850	16558	0.13	0.25	0.62
coarEASm-253-21	23041	3008	6572	13461	0.13	0.29	0.58
coarEASm-254-21	19871	2797	5210	11864	0.14	0.26	0.60
coarEASm-255-21	22913	3110	6139	13664	0.14	0.27	0.60
coarEASm-256-21	21824	2941	5942	12941	0.13	0.27	0.59
coarEASm-257-21	21752	3041	5514	13197	0.14	0.25	0.61
coarEASm-258-21	19648	2629	4991	12028	0.13	0.25	0.61
coarEASm-259-21	20789	2921	5761	12107	0.14	0.28	0.58
coarEASm-276-21	35053	3936	8448	22669	0.11	0.24	0.65
coarEASm-277-21	22413	2291	5235	14887	0.10	0.23	0.66
coarEASm-278-21	24215	3195	6545	14475	0.13	0.27	0.60
coarEASm-279-21	22946	3212	6427	13307	0.14	0.28	0.58
coarEASm-280-21	22884	3229	7314	12341	0.14	0.32	0.54
coarEASm-282-21	18654	2617	5277	10760	0.14	0.28	0.58
coarEASm-283-21	24942	3308	6977	14657	0.13	0.28	0.59
