Sample	Total Reads	Off-target Reads	Primer Only Reads	Primer Probe Reads	Off-target Proportion	Primer Only Proportion	Primer Probe Proportion
02_input_files/coarCHIm-M13-23_S288_L001_R1_001	20837	2412	7128	11297	0.12	0.34	0.54
02_input_files/coarCHIm-M14-23_S193_L001_R1_001	33088	3537	11607	17944	0.11	0.35	0.54
02_input_files/coarCHIm-M15-23_S194_L001_R1_001	35846	4643	15249	15954	0.13	0.43	0.45
02_input_files/coarCHIm-M16-23_S195_L001_R1_001	30495	3699	12248	14548	0.12	0.40	0.48
02_input_files/coarCHIm-M17-23_S196_L001_R1_001	24269	3377	10502	10390	0.14	0.43	0.43
02_input_files/coarCHIm-M18-23_S197_L001_R1_001	30786	4084	12407	14295	0.13	0.40	0.46
02_input_files/coarCHIm-M19-23_S198_L001_R1_001	27136	3470	10670	12996	0.13	0.39	0.48
02_input_files/coarCHIm-M20-23_S199_L001_R1_001	25684	3239	10187	12258	0.13	0.40	0.48
02_input_files/coarCHIm-M21-23_S200_L001_R1_001	32867	4192	13084	15591	0.13	0.40	0.47
02_input_files/coarCHIm-M22-23_S201_L001_R1_001	112	48	61	3	0.43	0.54	0.03
02_input_files/coarCHIm-M23-23_S202_L001_R1_001	30023	3878	11939	14206	0.13	0.40	0.47
02_input_files/coarCHIm-M24-23_S203_L001_R1_001	41399	5184	16463	19752	0.13	0.40	0.48
02_input_files/coarCHIm-M25-23_S204_L001_R1_001	73084	10338	35992	26754	0.14	0.49	0.37
02_input_files/coarCHIm-M26-23_S205_L001_R1_001	20520	2667	8084	9769	0.13	0.39	0.48
02_input_files/coarCHIm-M27-23_S206_L001_R1_001	14574	1948	5214	7412	0.13	0.36	0.51
02_input_files/coarCHIm-M28-23_S207_L001_R1_001	14720	2065	5457	7198	0.14	0.37	0.49
